食品名,エネルギーkcal,たんぱく質,脂質,炭水化物,食塩相当量,,,,,,,
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,347.0 ,12.9 ,1.8 ,73.1 ,0,,,,,,,
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,150.0 ,5.8 ,0.9 ,32.2 ,1.2 ,,,,,,,
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ソテー,186.0 ,5.5 ,5.8 ,30.5 ,1.1 ,,,,,,,
こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生,232.0 ,7.8 ,1.9 ,46.9 ,1.2 ,,,,,,,
こむぎ　［ふ類］　生ふ,161.0 ,12.7 ,0.8 ,26.2 ,0,,,,,,,
こむぎ　［ふ類］　焼きふ　釜焼きふ,357.0 ,28.5 ,2.7 ,56.9 ,0,,,,,,,
こむぎ　［ふ類］　焼きふ　板ふ,351.0 ,25.6 ,3.3 ,57.3 ,0.5 ,,,,,,,
こむぎ　［ふ類］　焼きふ　車ふ,361.0 ,30.2 ,3.4 ,54.2 ,0.3 ,,,,,,,
こむぎ　［ふ類］　油ふ,547.0 ,22.7 ,35.3 ,34.4 ,0.1 ,,,,,,,
こむぎ　［その他］　小麦はいが,391.0 ,32.0,11.6 ,48.3 ,0,,,,,,,
こむぎ　［その他］　小麦たんぱく　粉末状,398.0 ,72.0,9.7 ,10.6 ,0.2 ,,,,,,,
こむぎ　［その他］　小麦たんぱく　粒状,101.0 ,20.0,2.0,1.8 ,0.1 ,,,,,,,
こむぎ　［その他］　小麦たんぱく　ペースト状,145.0 ,25.0,4.1 ,3.9 ,0.6 ,,,,,,,
こむぎ　［その他］　かやきせんべい,359.0 ,10.6 ,1.9 ,75.1 ,2.5 ,,,,,,,
こむぎ　［その他］　ぎょうざの皮　生,275.0 ,9.3 ,1.4 ,57.0,0,,,,,,,
こむぎ　［その他］　しゅうまいの皮　生,275.0 ,8.3 ,1.4 ,58.9 ,0,,,,,,,
こむぎ　［その他］　春巻きの皮　生,288.0 ,8.3 ,1.6 ,62.2 ,1.1 ,,,,,,,
こむぎ　［その他］　春巻きの皮　揚げ,512.0 ,7.2 ,30.7 ,53.7 ,0.9 ,,,,,,,
こむぎ　［その他］　ピザ生地,265.0 ,9.1 ,3.0,51.1 ,1.3 ,,,,,,,
こむぎ　［その他］　ちくわぶ,160.0 ,7.1 ,1.2 ,31.1 ,0,,,,,,,
こむぎ　［その他］　パン粉　生,277.0 ,11.0,5.1 ,47.6 ,0.9 ,,,,,,,
こむぎ　［その他］　パン粉　半生,315.0 ,12.5 ,5.8 ,54.3 ,1.0,,,,,,,
こむぎ　［その他］　パン粉　乾燥,369.0 ,14.6 ,6.8 ,63.4 ,1.2 ,,,,,,,
こむぎ　［その他］　冷めん　生,249.0 ,3.9 ,0.7 ,57.6 ,1.3 ,,,,,,,
こめ　［水稲穀粒］　玄米,346.0 ,6.8 ,2.7 ,74.3 ,0,,,,,,,
こめ　［水稲穀粒］　半つき米,345.0 ,6.5 ,1.8 ,75.9 ,0,,,,,,,
こめ　［水稲穀粒］　七分つき米,348.0 ,6.3 ,1.5 ,76.6 ,0,,,,,,,
こめ　［水稲穀粒］　精白米　うるち米,342.0 ,6.1 ,0.9 ,77.6 ,0,,,,,,,
こめ　［水稲穀粒］　精白米　もち米,343.0 ,6.4 ,1.2 ,77.2 ,0,,,,,,,
こめ　［水稲穀粒］　精白米　インディカ米,347.0 ,7.4 ,0.9 ,77.7 ,0,,,,,,,
こめ　［水稲穀粒］　はいが精米,343.0 ,6.5 ,2.0,75.8 ,0,,,,,,,
こめ　［水稲穀粒］　発芽玄米,339.0 ,6.5 ,3.3 ,74.3 ,0,,,,,,,
こめ　［水稲穀粒］　赤米,344.0 ,8.5 ,3.3 ,71.9 ,0,,,,,,,
こめ　［水稲穀粒］　黒米,341.0 ,7.8 ,3.2 ,72.0,0,,,,,,,
こめ　［水稲めし］　玄米,152.0 ,2.8 ,1.0,35.6 ,0,,,,,,,
こめ　［水稲めし］　半つき米,154.0 ,2.7 ,0.6 ,36.4 ,0,,,,,,,
こめ　［水稲めし］　七分つき米,160.0 ,2.6 ,0.5 ,36.7 ,0,,,,,,,
こめ　［水稲めし］　精白米　インディカ米,184.0 ,3.8 ,0.4 ,41.5 ,0,,,,,,,
こめ　［水稲めし］　精白米　うるち米,156.0 ,2.5 ,0.3 ,37.1 ,0,,,,,,,
こめ　［水稲めし］　精白米　もち米,188.0 ,3.5 ,0.5 ,43.9 ,0,,,,,,,
こめ　［水稲めし］　はいが精米,159.0 ,2.7 ,0.6 ,36.4 ,0,,,,,,,
こめ　［水稲めし］　発芽玄米,161.0 ,3.0,1.4 ,35.0,0,,,,,,,
