食品名,エネルギーkcal,たんぱく質,脂質,炭水化物,食塩相当量,,,,,,,
＜魚類＞　さめ類　あぶらつのざめ　生,138.0 ,16.8 ,9.4 ,Tr,0.3 ,,,,,,,
＜魚類＞　さめ類　よしきりざめ　生,79.0 ,18.9 ,0.6 ,Tr,0.5 ,,,,,,,
＜魚類＞　さめ類　ふかひれ,344.0 ,83.9 ,1.6 ,Tr,0.5 ,,,,,,,
＜魚類＞　さより　生,88.0 ,19.6 ,1.3 ,Tr,0.5 ,,,,,,,
＜魚類＞　さわら　生,161.0 ,20.1 ,9.7 ,0.1 ,0.2 ,,,,,,,
＜魚類＞　さわら　焼き,184.0 ,23.6 ,10.8 ,0.1 ,0.2 ,,,,,,,
＜魚類＞　さんま　皮つき　生,287.0 ,18.1 ,25.6 ,0.1 ,0.4 ,,,,,,,
＜魚類＞　さんま　皮なし　生,277.0 ,17.8 ,25.0,0.2 ,0.3 ,,,,,,,
＜魚類＞　さんま　皮つき　焼き,281.0 ,23.3 ,22.8 ,0.2 ,0.3 ,,,,,,,
＜魚類＞　さんま　開き干し,232.0 ,19.3 ,19.0,0.1 ,1.3 ,,,,,,,
＜魚類＞　さんま　みりん干し,382.0 ,23.9 ,25.8 ,20.4 ,3.6 ,,,,,,,
＜魚類＞　さんま　缶詰　味付け,259.0 ,18.9 ,18.9 ,5.6 ,1.4 ,,,,,,,
＜魚類＞　さんま　缶詰　かば焼,219.0 ,17.4 ,13.0,9.7 ,1.5 ,,,,,,,
＜魚類＞　しいら　生,100.0 ,21.3 ,1.9 ,Tr,0.1 ,,,,,,,
＜魚類＞　ししゃも類　ししゃも　生干し　生,152.0 ,21.0,8.1 ,0.2 ,1.2 ,,,,,,,
＜魚類＞　ししゃも類　ししゃも　生干し　焼き,162.0 ,24.3 ,7.8 ,0.2 ,1.6 ,,,,,,,
＜魚類＞　ししゃも類　からふとししゃも　生干し　生,160.0 ,15.6 ,11.6 ,0.5 ,1.5 ,,,,,,,
＜魚類＞　ししゃも類　からふとししゃも　生干し　焼き,170.0 ,18.2 ,11.3 ,0.6 ,2.0,,,,,,,
＜魚類＞　したびらめ　生,89.0 ,19.2 ,1.6 ,Tr,0.4 ,,,,,,,
＜魚類＞　しまあじ　養殖　生,153.0 ,21.9 ,8.0,0.1 ,0.1 ,,,,,,,
＜魚類＞　しらうお　生,70.0 ,13.6 ,2.0,0.1 ,0.4 ,,,,,,,
＜魚類＞　シルバー　生,138.0 ,18.6 ,7.9 ,Tr,0.2 ,,,,,,,
＜魚類＞　すずき　生,113.0 ,19.8 ,4.2 ,Tr,0.2 ,,,,,,,
＜魚類＞　たい類　きだい　生,100.0 ,18.6 ,3.1 ,0.2 ,0.2 ,,,,,,,
＜魚類＞　たい類　くろだい　生,137.0 ,20.4 ,6.7 ,0.3 ,0.1 ,,,,,,,
＜魚類＞　たい類　ちだい　生,97.0 ,19.4 ,2.4 ,0.1 ,0.2 ,,,,,,,
＜魚類＞　たい類　まだい　天然　生,129.0 ,20.6 ,5.8 ,0.1 ,0.1 ,,,,,,,
＜魚類＞　たい類　まだい　養殖　皮つき　生,160.0 ,20.9 ,9.4 ,0.1 ,0.1 ,,,,,,,
＜魚類＞　たい類　まだい　養殖　皮つき　水煮,182.0 ,22.2 ,11.9 ,0.1 ,0.1 ,,,,,,,
＜魚類＞　たい類　まだい　養殖　皮つき　焼き,186.0 ,22.7 ,12.0,0.1 ,0.1 ,,,,,,,
＜魚類＞　たい類　まだい　養殖　皮なし　生,131.0 ,21.2 ,5.9 ,0.2 ,0.1 ,,,,,,,
＜魚類＞　たかさご　生,93.0 ,20.2 ,1.5 ,0.1 ,0.1 ,,,,,,,
＜魚類＞　たかべ　生,148.0 ,18.7 ,9.0,Tr,0.3 ,,,,,,,
＜魚類＞　たちうお　生,238.0 ,16.5 ,20.9 ,Tr,0.2 ,,,,,,,
＜魚類＞　たら類　すけとうだら　生,72.0 ,17.4 ,1.0,0.1 ,0.3 ,,,,,,,
＜魚類＞　たら類　すけとうだら　フライ,195.0 ,19.2 ,11.9 ,5.7 ,0.4 ,,,,,,,
＜魚類＞　たら類　すけとうだら　すり身,98.0 ,17.5 ,0.2 ,6.6 ,0.3 ,,,,,,,
＜魚類＞　たら類　すけとうだら　すきみだら,165.0 ,40.5 ,0.3 ,0.1 ,18.8 ,,,,,,,
＜魚類＞　たら類　すけとうだら　たらこ　生,131.0 ,24.0,4.7 ,0.4 ,4.6 ,,,,,,,
＜魚類＞　たら類　すけとうだら　たらこ　焼き,158.0 ,28.3 ,6.1 ,0.5 ,5.3 ,,,,,,,
＜魚類＞　たら類　すけとうだら　からしめんたいこ,121.0 ,21.0,3.3 ,3.0,5.6 ,,,,,,,
＜魚類＞　たら類　まだら　生,72.0 ,17.6 ,0.2 ,0.1 ,0.3 ,,,,,,,
＜魚類＞　たら類　まだら　焼き,103.0 ,25.2 ,0.2 ,0.2 ,0.4 ,,,,,,,
＜魚類＞　たら類　まだら　しらこ　生,60.0 ,13.4 ,0.8 ,0.2 ,0.3 ,,,,,,,
＜魚類＞　たら類　まだら　塩だら,61.0 ,15.2 ,0.1 ,Tr,2.0,,,,,,,
＜魚類＞　たら類　まだら　干しだら,299.0 ,73.2 ,0.8 ,0.1 ,3.8 ,,,,,,,
＜魚類＞　たら類　加工品　でんぶ,276.0 ,25.5 ,1.1 ,41.5 ,4.2 ,,,,,,,
＜魚類＞　たら類　加工品　桜でんぶ,351.0 ,10.6 ,0.5 ,80.2 ,2.4 ,,,,,,,
＜魚類＞　ちか　生,82.0 ,19.5 ,0.6 ,Tr,0.6 ,,,,,,,
＜魚類＞　どじょう　生,72.0 ,16.1 ,1.2 ,Tr,0.2 ,,,,,,,
＜魚類＞　どじょう　水煮,76.0 ,17.1 ,1.2 ,Tr,0.3 ,,,,,,,
＜魚類＞　とびうお　生,89.0 ,21.0,0.7 ,0.1 ,0.2 ,,,,,,,
＜魚類＞　とびうお　煮干し,325.0 ,80.0,2.2 ,0.1 ,1.5 ,,,,,,,
＜魚類＞　とびうお　焼き干し,309.0 ,73.4 ,3.3 ,0.1 ,1.8 ,,,,,,,
＜魚類＞　ナイルティラピア　生,124.0 ,19.8 ,5.3 ,0.2 ,0.2 ,,,,,,,
＜魚類＞　なまず　生,145.0 ,18.4 ,8.6 ,Tr,0.1 ,,,,,,,
＜魚類＞　にぎす　生,84.0 ,18.7 ,1.2 ,0.1 ,0.5 ,,,,,,,
＜魚類＞　にしん　生,196.0 ,17.4 ,15.1 ,0.1 ,0.3 ,,,,,,,
＜魚類＞　にしん　身欠きにしん,224.0 ,20.9 ,16.7 ,0.2 ,0.4 ,,,,,,,
＜魚類＞　にしん　開き干し,239.0 ,18.5 ,19.7 ,0.2 ,0.9 ,,,,,,,
＜魚類＞　にしん　くん製,280.0 ,23.1 ,22.1 ,Tr,9.9 ,,,,,,,
＜魚類＞　にしん　かずのこ　生,139.0 ,25.2 ,6.7 ,0.2 ,0.8 ,,,,,,,
＜魚類＞　にしん　かずのこ　乾,358.0 ,65.2 ,13.6 ,0.5 ,3.6 ,,,,,,,
＜魚類＞　にしん　かずのこ　塩蔵　水戻し,80.0 ,15.0,3.0,0.6 ,1.2 ,,,,,,,
＜魚類＞　はぜ　生,78.0 ,19.1 ,0.2 ,0.1 ,0.2 ,,,,,,,
＜魚類＞　はぜ　つくだ煮,277.0 ,24.3 ,3.0,39.9 ,5.6 ,,,,,,,
＜魚類＞　はぜ　甘露煮,260.0 ,21.1 ,2.2 ,40.3 ,3.8 ,,,,,,,
＜魚類＞　はたはた　生,101.0 ,14.1 ,5.7 ,Tr,0.5 ,,,,,,,
＜魚類＞　はたはた　生干し,154.0 ,16.7 ,10.3 ,Tr,1.3 ,,,,,,,
＜魚類＞　はまふえふき　生,85.0 ,20.5 ,0.3 ,0.1 ,0.2 ,,,,,,,
＜魚類＞　はも　生,132.0 ,22.3 ,5.3 ,Tr,0.2 ,,,,,,,
＜魚類＞　ひらまさ　生,128.0 ,22.6 ,4.9 ,0.1 ,0.1 ,,,,,,,
＜魚類＞　ひらめ　天然　生,96.0 ,20.0,2.0,Tr,0.1 ,,,,,,,
＜魚類＞　ひらめ　養殖　皮つき　生,115.0 ,21.6 ,3.7 ,Tr,0.1 ,,,,,,,
＜魚類＞　ひらめ　養殖　皮なし　生,100.0 ,21.2 ,2.5 ,0.1 ,0.1 ,,,,,,,
＜魚類＞　ふぐ類　とらふぐ　養殖　生,80.0 ,19.3 ,0.3 ,0.2 ,0.3 ,,,,,,,
＜魚類＞　ふぐ類　まふぐ　生,78.0 ,18.9 ,0.4 ,Tr,0.2 ,,,,,,,
＜魚類＞　ふな　生,93.0 ,18.2 ,2.5 ,0.1 ,0.1 ,,,,,,,
＜魚類＞　ふな　水煮,104.0 ,20.3 ,2.8 ,0.1 ,0.1 ,,,,,,,
＜魚類＞　ふな　甘露煮,266.0 ,15.5 ,3.6 ,44.4 ,3.3 ,,,,,,,
＜魚類＞　ふな　ふなずし,181.0 ,21.3 ,7.9 ,9.2 ,3.9 ,,,,,,,
＜魚類＞　ぶり　成魚　生,222.0 ,21.4 ,17.6 ,0.3 ,0.1 ,,,,,,,
＜魚類＞　ぶり　成魚　焼き,260.0 ,26.2 ,20.4 ,0.3 ,0.1 ,,,,,,,
＜魚類＞　ぶり　はまち　養殖　皮つき　生,217.0 ,20.7 ,17.2 ,0.3 ,0.1 ,,,,,,,
＜魚類＞　ぶり　はまち　養殖　皮なし　生,180.0 ,21.0,12.0,0.3 ,0.1 ,,,,,,,
＜魚類＞　ほうぼう　生,110.0 ,19.6 ,4.2 ,Tr,0.3 ,,,,,,,
＜魚類＞　ホキ　生,78.0 ,17.0,1.3 ,Tr,0.4 ,,,,,,,
＜魚類＞　ほっけ　生,103.0 ,17.3 ,4.4 ,0.1 ,0.2 ,,,,,,,
＜魚類＞　ほっけ　塩ほっけ,113.0 ,18.1 ,4.9 ,0.1 ,3.6 ,,,,,,,
＜魚類＞　ほっけ　開き干し　生,161.0 ,20.6 ,9.4 ,0.1 ,1.8 ,,,,,,,
＜魚類＞　ほっけ　開き干し　焼き,179.0 ,23.1 ,10.9 ,0.2 ,2.0,,,,,,,
＜魚類＞　ぼら　生,119.0 ,19.2 ,5.0,0.1 ,0.2 ,,,,,,,
＜魚類＞　ぼら　からすみ,353.0 ,40.4 ,28.9 ,0.3 ,3.6 ,,,,,,,
＜魚類＞　ほんもろこ　生,103.0 ,17.5 ,4.1 ,0.1 ,0.2 ,,,,,,,
＜魚類＞　まぐろ類　きはだ　生,102.0 ,24.3 ,1.0,Tr,0.1 ,,,,,,,
＜魚類＞　まぐろ類　くろまぐろ　天然　赤身　生,115.0 ,26.4 ,1.4 ,0.1 ,0.1 ,,,,,,,
＜魚類＞　まぐろ類　くろまぐろ　天然　脂身　生,308.0 ,20.1 ,27.5 ,0.1 ,0.2 ,,,,,,,
＜魚類＞　まぐろ類　くろまぐろ　養殖　赤身　生,153.0 ,24.8 ,7.6 ,0.3 ,0.1 ,,,,,,,
＜魚類＞　まぐろ類　くろまぐろ　養殖　赤身　水煮,173.0 ,27.2 ,8.3 ,0.3 ,0.1 ,,,,,,,
＜魚類＞　まぐろ類　くろまぐろ　養殖　赤身　蒸し,187.0 ,28.0,9.9 ,0.2 ,0.1 ,,,,,,,
＜魚類＞　まぐろ類　くろまぐろ　養殖　赤身　電子レンジ調理,191.0 ,30.4 ,8.7 ,0.3 ,0.1 ,,,,,,,
＜魚類＞　まぐろ類　くろまぐろ　養殖　赤身　焼き,202.0 ,29.0,10.6 ,0.3 ,0.1 ,,,,,,,
＜魚類＞　まぐろ類　くろまぐろ　養殖　赤身　ソテー,194.0 ,28.0,10.2 ,0.3 ,0.1 ,,,,,,,
＜魚類＞　まぐろ類　くろまぐろ　養殖　赤身　天ぷら,222.0 ,25.1 ,12.6 ,3.2 ,0.1 ,,,,,,,
＜魚類＞　まぐろ類　びんなが　生,111.0 ,26.0,0.7 ,0.2 ,0.1 ,,,,,,,
＜魚類＞　まぐろ類　みなみまぐろ　赤身　生,88.0 ,21.6 ,0.4 ,0.1 ,0.1 ,,,,,,,
＜魚類＞　まぐろ類　みなみまぐろ　脂身　生,322.0 ,20.3 ,28.3 ,0.1 ,0.1 ,,,,,,,
＜魚類＞　まぐろ類　めじまぐろ　生,139.0 ,25.2 ,4.8 ,0.1 ,0.1 ,,,,,,,
＜魚類＞　まぐろ類 めばち　赤身　生,115.0 ,25.4 ,2.3 ,0.3 ,0.1 ,,,,,,,
＜魚類＞　まぐろ類 めばち　脂身　生,158.0 ,23.9 ,7.5 ,0.4 ,0.3 ,,,,,,,
＜魚類＞　まぐろ類　缶詰　水煮　フレーク　ライト,70.0 ,16.0,0.7 ,0.2 ,0.5 ,,,,,,,
＜魚類＞　まぐろ類　缶詰　水煮　フレーク　ホワイト,96.0 ,18.3 ,2.5 ,0.4 ,0.7 ,,,,,,,
＜魚類＞　まぐろ類　缶詰　味付け　フレーク,134.0 ,19.0,2.3 ,9.9 ,1.9 ,,,,,,,
＜魚類＞　まぐろ類　缶詰　油漬　フレーク　ライト,265.0 ,17.7 ,21.7 ,0.1 ,0.9 ,,,,,,,
＜魚類＞　まぐろ類　缶詰　油漬　フレーク　ホワイト,279.0 ,18.8 ,23.6 ,0.1 ,0.9 ,,,,,,,
＜魚類＞　マジェランあいなめ　生,243.0 ,13.3 ,22.9 ,0.1 ,0.2 ,,,,,,,
＜魚類＞　まながつお　生,161.0 ,17.1 ,10.9 ,Tr,0.4 ,,,,,,,
＜魚類＞　みなみくろたち　生,112.0 ,21.7 ,3.0,0.1 ,0.3 ,,,,,,,
＜魚類＞　みなみだら　生,68.0 ,16.4 ,0.3 ,Tr,0.6 ,,,,,,,
＜魚類＞　むつ　生,175.0 ,16.7 ,12.6 ,Tr,0.2 ,,,,,,,
＜魚類＞　むつ　水煮,161.0 ,22.2 ,8.4 ,Tr,0.2 ,,,,,,,
＜魚類＞　めじな　生,113.0 ,19.4 ,4.5 ,0.1 ,0.2 ,,,,,,,
＜魚類＞　めばる　生,100.0 ,18.1 ,3.5 ,Tr,0.2 ,,,,,,,
＜魚類＞　メルルーサ　生,73.0 ,17.0,0.6 ,Tr,0.4 ,,,,,,,
＜魚類＞　やつめうなぎ　生,245.0 ,15.8 ,21.8 ,0.2 ,0.1 ,,,,,,,
＜魚類＞　やつめうなぎ　干しやつめ,449.0 ,50.3 ,31.2 ,0.5 ,0.3 ,,,,,,,
＜魚類＞　やまめ　養殖　生,110.0 ,18.4 ,4.3 ,0.3 ,0.1 ,,,,,,,
＜魚類＞　わかさぎ　生,71.0 ,14.4 ,1.7 ,0.1 ,0.5 ,,,,,,,
＜魚類＞　わかさぎ　つくだ煮,308.0 ,28.7 ,5.5 ,38.2 ,4.8 ,,,,,,,
＜魚類＞　わかさぎ　あめ煮,301.0 ,26.3 ,5.1 ,40.4 ,4.1 ,,,,,,,
＜貝類＞　あかがい　生,70.0 ,13.5 ,0.3 ,3.5 ,0.8 ,,,,,,,
＜貝類＞　あげまき　生,44.0 ,8.1 ,0.6 ,2.0,1.5 ,,,,,,,
＜貝類＞　あさり　生,27.0 ,6.0,0.3 ,0.4 ,2.2 ,,,,,,,
＜貝類＞　あさり　つくだ煮,218.0 ,20.8 ,2.4 ,30.1 ,7.4 ,,,,,,,
＜貝類＞　あさり　缶詰　水煮,102.0 ,20.3 ,2.2 ,1.9 ,1.0,,,,,,,
＜貝類＞　あさり　缶詰　味付け,124.0 ,16.6 ,1.9 ,11.5 ,1.6 ,,,,,,,
＜貝類＞　あわび　くろあわび　生,76.0 ,14.3 ,0.8 ,3.6 ,1.1 ,,,,,,,
＜貝類＞　あわび　まだかあわび　生,74.0 ,14.6 ,0.4 ,3.3 ,0.8 ,,,,,,,
＜貝類＞　あわび　めがいあわび　生,74.0 ,12.2 ,0.3 ,6.8 ,0.8 ,,,,,,,
＜貝類＞　あわび　干し,257.0 ,38.0,1.6 ,23.8 ,7.4 ,,,,,,,
＜貝類＞　あわび　塩辛,93.0 ,14.8 ,3.9 ,1.4 ,6.6 ,,,,,,,
＜貝類＞　あわび　水煮缶詰,85.0 ,19.4 ,0.4 ,1.0,1.4 ,,,,,,,
＜貝類＞　いがい　生,63.0 ,10.3 ,1.6 ,3.2 ,1.4 ,,,,,,,
＜貝類＞　いたやがい　養殖　生,55.0 ,10.8 ,0.8 ,1.5 ,1.1 ,,,,,,,
＜貝類＞　エスカルゴ　水煮缶詰,75.0 ,16.5 ,1.0,0.8 ,0.7 ,,,,,,,
＜貝類＞　かき　養殖　生,58.0 ,6.9 ,2.2 ,4.9 ,1.2 ,,,,,,,
＜貝類＞　かき　養殖　水煮,90.0 ,9.9 ,3.6 ,7.1 ,0.9 ,,,,,,,
＜貝類＞　かき　養殖　フライ,256.0 ,7.6 ,11.1 ,32.9 ,1.0,,,,,,,
＜貝類＞　かき　くん製油漬缶詰,294.0 ,12.5 ,22.6 ,11.2 ,0.8 ,,,,,,,
＜貝類＞　さざえ　生,83.0 ,19.4 ,0.4 ,0.8 ,0.6 ,,,,,,,
＜貝類＞　さざえ　焼き,91.0 ,21.3 ,0.4 ,0.9 ,0.7 ,,,,,,,
＜貝類＞　さるぼう　味付け缶詰,131.0 ,15.9 ,2.2 ,12.9 ,2.2 ,,,,,,,
＜貝類＞　しじみ　生,54.0 ,7.5 ,1.4 ,4.5 ,0.4 ,,,,,,,
＜貝類＞　しじみ　水煮,95.0 ,15.4 ,2.7 ,5.5 ,0.3 ,,,,,,,
＜貝類＞　たいらがい　貝柱　生,94.0 ,21.8 ,0.2 ,1.5 ,0.7 ,,,,,,,
＜貝類＞　たにし　生,73.0 ,13.0,1.1 ,3.6 ,0.1 ,,,,,,,
＜貝類＞　つぶ　生,82.0 ,17.8 ,0.2 ,2.3 ,1.0,,,,,,,
＜貝類＞　とこぶし　生,78.0 ,16.0,0.4 ,3.0,0.7 ,,,,,,,
＜貝類＞　とりがい　斧足　生,81.0 ,12.9 ,0.3 ,6.9 ,0.3 ,,,,,,,
＜貝類＞　ばい　生,81.0 ,16.3 ,0.6 ,3.1 ,0.6 ,,,,,,,
＜貝類＞　ばかがい　生,56.0 ,10.9 ,0.5 ,2.4 ,0.8 ,,,,,,,
＜貝類＞　はまぐり類　はまぐり　生,35.0 ,6.1 ,0.6 ,1.8 ,2.0,,,,,,,
＜貝類＞　はまぐり類　はまぐり　水煮,79.0 ,14.9 ,1.5 ,2.9 ,1.2 ,,,,,,,
＜貝類＞　はまぐり類　はまぐり　焼き,70.0 ,13.3 ,1.0,2.8 ,2.0,,,,,,,
＜貝類＞　はまぐり類　はまぐり　つくだ煮,211.0 ,27.0,2.8 ,21.4 ,7.1 ,,,,,,,
＜貝類＞　はまぐり類　ちょうせんはまぐり　生,41.0 ,6.5 ,1.0,2.7 ,1.3 ,,,,,,,
＜貝類＞　ほたてがい　生,66.0 ,13.5 ,0.9 ,1.5 ,0.8 ,,,,,,,
＜貝類＞　ほたてがい　水煮,89.0 ,17.6 ,1.9 ,1.9 ,0.6 ,,,,,,,
＜貝類＞　ほたてがい　貝柱　生,82.0 ,16.9 ,0.3 ,3.5 ,0.3 ,,,,,,,
＜貝類＞　ほたてがい　貝柱　焼き,123.0 ,23.8 ,0.3 ,4.6 ,0.4 ,,,,,,,
＜貝類＞　ほたてがい　貝柱　煮干し,301.0 ,65.7 ,1.4 ,7.6 ,6.4 ,,,,,,,
＜貝類＞　ほたてがい　貝柱　水煮缶詰,87.0 ,19.5 ,0.6 ,1.5 ,1.0,,,,,,,
＜貝類＞　ほっきがい　生,66.0 ,11.1 ,1.1 ,3.8 ,0.6 ,,,,,,,
＜貝類＞　みるがい　水管　生,77.0 ,18.3 ,0.4 ,0.3 ,0.8 ,,,,,,,
＜えび・かに類＞　えび類　あまえび　生,85.0 ,19.8 ,1.5 ,0.1 ,0.8 ,,,,,,,
＜えび・かに類＞　えび類　いせえび　生,86.0 ,20.9 ,0.4 ,Tr,0.9 ,,,,,,,
＜えび・かに類＞　えび類　くるまえび　養殖　生,90.0 ,21.6 ,0.6 ,Tr,0.4 ,,,,,,,
＜えび・かに類＞　えび類　くるまえび　養殖　ゆで,116.0 ,28.2 ,0.5 ,Tr,0.5 ,,,,,,,
＜えび・かに類＞　えび類　くるまえび　養殖　焼き,97.0 ,23.5 ,0.4 ,Tr,0.5 ,,,,,,,
＜えび・かに類＞　えび類　さくらえび　生,78.0 ,16.6 ,2.0,0.1 ,0.7 ,,,,,,,
＜えび・かに類＞　えび類　さくらえび　ゆで,82.0 ,18.2 ,1.5 ,Tr,2.1 ,,,,,,,
＜えび・かに類＞　えび類　さくらえび　素干し,286.0 ,64.9 ,4.0,0.1 ,3.0,,,,,,,
＜えび・かに類＞　えび類　さくらえび　煮干し,252.0 ,59.1 ,2.5 ,0.1 ,8.6 ,,,,,,,
＜えび・かに類＞　えび類　大正えび　生,89.0 ,21.7 ,0.3 ,0.1 ,0.5 ,,,,,,,
＜えび・かに類＞　えび類　しばえび　生,78.0 ,18.7 ,0.4 ,0.1 ,0.6 ,,,,,,,
＜えび・かに類＞　えび類　バナメイえび　養殖　生,82.0 ,19.6 ,0.6 ,0.7 ,0.3 ,,,,,,,
＜えび・かに類＞　えび類　バナメイえび　養殖　天ぷら,194.0 ,20.0,10.3 ,6.5 ,0.3 ,,,,,,,
＜えび・かに類＞　えび類　ブラックタイガー　養殖　生,77.0 ,18.4 ,0.3 ,0.3 ,0.4 ,,,,,,,
＜えび・かに類＞　えび類　加工品　干しえび,213.0 ,48.6 ,2.8 ,0.3 ,3.8 ,,,,,,,
＜えび・かに類＞　えび類　加工品　つくだ煮,239.0 ,25.9 ,2.2 ,30.1 ,4.8 ,,,,,,,
＜えび・かに類＞　かに類　がざみ　生,61.0 ,14.4 ,0.3 ,0.3 ,0.9 ,,,,,,,
＜えび・かに類＞　かに類　毛がに　生,67.0 ,15.8 ,0.5 ,0.2 ,0.6 ,,,,,,,
＜えび・かに類＞　かに類　毛がに　ゆで,78.0 ,18.4 ,0.5 ,0.2 ,0.6 ,,,,,,,
＜えび・かに類＞　かに類　ずわいがに　生,59.0 ,13.9 ,0.4 ,0.1 ,0.8 ,,,,,,,
＜えび・かに類＞　かに類　ずわいがに　ゆで,65.0 ,15.0,0.6 ,0.1 ,0.6 ,,,,,,,
＜えび・かに類＞　かに類　ずわいがに　水煮缶詰,69.0 ,16.3 ,0.4 ,0.2 ,1.7 ,,,,,,,
＜えび・かに類＞　かに類　たらばがに　生,56.0 ,13.0,0.9 ,0.2 ,0.9 ,,,,,,,
＜えび・かに類＞　かに類　たらばがに　ゆで,77.0 ,17.5 ,1.5 ,0.3 ,0.8 ,,,,,,,
＜えび・かに類＞　かに類　たらばがに　水煮缶詰,85.0 ,20.6 ,0.3 ,0.1 ,1.5 ,,,,,,,
＜えび・かに類＞　かに類　加工品　がん漬,58.0 ,8.4 ,0.4 ,5.4 ,19.1 ,,,,,,,
＜いか・たこ類＞　いか類　あかいか　生,81.0 ,17.9 ,1.5 ,Tr,0.5 ,,,,,,,
＜いか・たこ類＞　いか類　けんさきいか　生,77.0 ,17.5 ,1.0,0.1 ,0.5 ,,,,,,,
＜いか・たこ類＞　いか類　こういか　生,64.0 ,14.9 ,1.3 ,0.1 ,0.7 ,,,,,,,
＜いか・たこ類＞　いか類　するめいか　生,76.0 ,17.9 ,0.8 ,0.1 ,0.5 ,,,,,,,
＜いか・たこ類＞　いか類　するめいか　水煮,98.0 ,21.9 ,0.9 ,0.1 ,0.6 ,,,,,,,
＜いか・たこ類＞　いか類　するめいか　焼き,108.0 ,23.6 ,1.0,0.1 ,0.8 ,,,,,,,
＜いか・たこ類＞　いか類　するめいか　胴　皮つき　生,78.0 ,18.6 ,0.7 ,0.1 ,0.5 ,,,,,,,
＜いか・たこ類＞　いか類　するめいか　胴　皮なし　生,80.0 ,18.6 ,0.6 ,0.1 ,0.5 ,,,,,,,
＜いか・たこ類＞　いか類　するめいか　胴　皮なし　天ぷら,175.0 ,16.7 ,10.8 ,6.3 ,0.4 ,,,,,,,
＜いか・たこ類＞　いか類　するめいか　耳・足　生,75.0 ,16.9 ,0.9 ,0,0.6 ,,,,,,,
＜いか・たこ類＞　いか類　ほたるいか　生,74.0 ,11.8 ,3.5 ,0.2 ,0.7 ,,,,,,,
＜いか・たこ類＞　いか類　ほたるいか　ゆで,91.0 ,17.7 ,2.9 ,0.4 ,0.6 ,,,,,,,
＜いか・たこ類＞　いか類　ほたるいか　くん製,305.0 ,43.1 ,7.5 ,21.3 ,3.8 ,,,,,,,
＜いか・たこ類＞　いか類　ほたるいか　つくだ煮,245.0 ,27.0,6.7 ,22.9 ,3.0,,,,,,,
＜いか・たこ類＞　いか類　やりいか　生,79.0 ,17.6 ,1.0,0.4 ,0.4 ,,,,,,,
＜いか・たこ類＞　いか類　加工品　するめ,304.0 ,69.2 ,4.3 ,0.4 ,2.3 ,,,,,,,
＜いか・たこ類＞　いか類　加工品　さきいか,268.0 ,45.5 ,3.1 ,17.3 ,6.9 ,,,,,,,
＜いか・たこ類＞　いか類　加工品　くん製,202.0 ,35.2 ,1.5 ,12.8 ,6.1 ,,,,,,,
＜いか・たこ類＞　いか類　加工品　切りいかあめ煮,310.0 ,22.7 ,4.7 ,46.1 ,2.8 ,,,,,,,
＜いか・たこ類＞　いか類　加工品　いかあられ,289.0 ,20.0,1.8 ,49.1 ,1.8 ,,,,,,,
＜いか・たこ類＞　いか類　加工品　塩辛,114.0 ,15.2 ,3.4 ,6.5 ,6.9 ,,,,,,,
＜いか・たこ類＞　いか類　加工品　味付け缶詰,127.0 ,21.4 ,1.8 ,7.7 ,1.8 ,,,,,,,
＜いか・たこ類＞　たこ類　いいだこ　生,64.0 ,14.6 ,0.8 ,0.1 ,0.6 ,,,,,,,
＜いか・たこ類＞　たこ類　まだこ　生,70.0 ,16.4 ,0.7 ,0.1 ,0.7 ,,,,,,,
＜いか・たこ類＞　たこ類　まだこ　ゆで,91.0 ,21.7 ,0.7 ,0.1 ,0.6 ,,,,,,,
＜いか・たこ類＞　たこ類　みずだこ　生,61.0 ,13.4 ,0.9 ,0.1 ,1.1 ,,,,,,,
＜その他＞　あみ　つくだ煮,230.0 ,19.1 ,1.8 ,35.1 ,6.9 ,,,,,,,
＜その他＞　あみ　塩辛,62.0 ,12.9 ,1.1 ,0.8 ,19.8 ,,,,,,,
＜その他＞　うに　生うに,109.0 ,16.0,4.8 ,3.3 ,0.6 ,,,,,,,
＜その他＞　うに　粒うに,172.0 ,17.2 ,5.8 ,15.6 ,8.4 ,,,,,,,
＜その他＞　うに　練りうに,166.0 ,13.5 ,2.9 ,22.4 ,7.1 ,,,,,,,
＜その他＞　おきあみ　生,84.0 ,15.0,3.2 ,0.2 ,1.1 ,,,,,,,
＜その他＞　おきあみ　ゆで,78.0 ,13.8 ,3.0,Tr,1.6 ,,,,,,,
＜その他＞　くらげ　塩蔵　塩抜き,21.0 ,5.2 ,0.1 ,Tr,0.3 ,,,,,,,
＜その他＞　しゃこ　ゆで,89.0 ,19.2 ,1.7 ,0.2 ,0.8 ,,,,,,,
＜その他＞　なまこ　生,22.0 ,4.6 ,0.3 ,0.5 ,1.7 ,,,,,,,
＜その他＞　なまこ　このわた,54.0 ,11.4 ,1.8 ,0.5 ,4.6 ,,,,,,,
＜その他＞　ほや　生,27.0 ,5.0,0.8 ,0.8 ,3.3 ,,,,,,,
＜その他＞　ほや　塩辛,69.0 ,11.6 ,1.1 ,3.8 ,3.6 ,,,,,,,
＜水産練り製品＞　かに風味かまぼこ,89.0 ,12.1 ,0.5 ,9.2 ,2.2 ,,,,,,,
